time,x1,y1,x2,y2,x3,y3
0.000,8.321E-4,4.711E-3,-0.105,-0.223,0.165,-0.203
0.033,1.005E-3,4.251E-3,-0.105,-0.224,0.164,-0.203
0.067,2.029E-3,2.677E-3,-0.105,-0.225,0.164,-0.205
0.100,3.638E-3,1.461E-3,-0.107,-0.226,0.163,-0.209
0.133,4.218E-3,-6.615E-4,-0.108,-0.229,0.163,-0.216
0.167,4.328E-3,-3.433E-3,-0.109,-0.233,0.162,-0.223
0.200,4.276E-3,-6.497E-3,-0.110,-0.238,0.162,-0.232
0.233,4.271E-3,-6.541E-3,-0.110,-0.238,0.162,-0.232
0.267,4.753E-3,-8.456E-3,-0.111,-0.241,0.161,-0.243
0.300,5.690E-3,-1.046E-2,-0.112,-0.243,0.159,-0.256
0.333,5.773E-3,-1.252E-2,-0.114,-0.246,0.158,-0.270
0.367,5.908E-3,-1.474E-2,-0.117,-0.249,0.154,-0.286
0.400,5.813E-3,-1.578E-2,-0.119,-0.252,0.150,-0.304
0.433,5.842E-3,-1.686E-2,-0.120,-0.256,0.147,-0.323
0.467,5.919E-3,-1.818E-2,-0.119,-0.260,0.144,-0.343
0.500,6.520E-3,-1.979E-2,-0.117,-0.265,0.141,-0.361
0.533,7.691E-3,-2.145E-2,-0.114,-0.270,0.139,-0.380
0.567,8.925E-3,-2.200E-2,-0.109,-0.275,0.138,-0.397
0.600,1.052E-2,-2.348E-2,-0.103,-0.281,0.136,-0.415
0.633,1.230E-2,-2.509E-2,-0.097,-0.286,0.134,-0.432
0.667,1.481E-2,-2.519E-2,-0.091,-0.289,0.131,-0.449
0.700,1.681E-2,-2.504E-2,-0.084,-0.295,0.129,-0.465
0.733,1.675E-2,-2.503E-2,-0.084,-0.295,0.129,-0.466
0.767,1.802E-2,-2.567E-2,-0.075,-0.301,0.129,-0.482
0.800,2.066E-2,-2.752E-2,-0.064,-0.307,0.128,-0.498
0.833,2.244E-2,-2.822E-2,-0.054,-0.312,0.128,-0.512
0.867,2.523E-2,-3.028E-2,-0.043,-0.318,0.127,-0.526
0.900,2.802E-2,-3.259E-2,-0.032,-0.323,0.126,-0.540
0.933,3.050E-2,-3.308E-2,-0.022,-0.328,0.124,-0.553
0.967,3.258E-2,-3.513E-2,-0.011,-0.334,0.124,-0.564
1.000,3.444E-2,-3.668E-2,-0.002,-0.338,0.127,-0.571
1.033,3.585E-2,-3.863E-2,0.007,-0.342,0.129,-0.580
1.067,3.757E-2,-4.061E-2,0.019,-0.345,0.132,-0.587
1.100,3.867E-2,-4.274E-2,0.027,-0.347,0.136,-0.591
1.133,4.023E-2,-4.471E-2,0.035,-0.350,0.137,-0.597
1.167,4.187E-2,-4.612E-2,0.043,-0.351,0.137,-0.601
1.200,4.191E-2,-4.617E-2,0.043,-0.351,0.137,-0.601
1.233,4.455E-2,-4.713E-2,0.049,-0.352,0.137,-0.605
1.267,4.651E-2,-4.784E-2,0.053,-0.353,0.135,-0.608
1.300,4.930E-2,-4.814E-2,0.057,-0.354,0.133,-0.611
1.333,5.094E-2,-4.817E-2,0.059,-0.354,0.132,-0.613
1.367,5.184E-2,-4.788E-2,0.060,-0.354,0.131,-0.614
1.400,5.240E-2,-4.681E-2,0.060,-0.353,0.131,-0.614
1.433,5.238E-2,-4.623E-2,0.060,-0.352,0.132,-0.613
1.467,5.157E-2,-4.597E-2,0.060,-0.352,0.132,-0.613
1.500,5.238E-2,-4.558E-2,0.060,-0.351,0.132,-0.613
1.533,5.255E-2,-4.549E-2,0.060,-0.351,0.132,-0.613
1.567,5.255E-2,-4.541E-2,0.059,-0.351,0.131,-0.613
1.600,5.268E-2,-4.554E-2,0.058,-0.352,0.130,-0.613
1.633,5.294E-2,-4.564E-2,0.056,-0.352,0.130,-0.613
1.667,5.276E-2,-4.554E-2,0.056,-0.352,0.130,-0.613
1.700,5.261E-2,-4.543E-2,0.056,-0.352,0.130,-0.613
1.733,5.186E-2,-4.586E-2,0.054,-0.352,0.129,-0.613
1.767,5.088E-2,-4.605E-2,0.052,-0.352,0.129,-0.612
1.800,5.069E-2,-4.567E-2,0.051,-0.352,0.128,-0.612
1.833,5.036E-2,-4.561E-2,0.050,-0.352,0.127,-0.611
1.867,5.015E-2,-4.552E-2,0.047,-0.351,0.127,-0.611
1.900,5.018E-2,-4.545E-2,0.046,-0.351,0.127,-0.610
1.933,4.954E-2,-4.524E-2,0.042,-0.350,0.127,-0.608
1.967,4.907E-2,-4.440E-2,0.039,-0.348,0.128,-0.605
2.000,4.825E-2,-4.363E-2,0.034,-0.346,0.129,-0.601
2.033,4.678E-2,-4.245E-2,0.029,-0.345,0.132,-0.595
2.067,4.432E-2,-4.190E-2,0.024,-0.344,0.137,-0.591
2.100,4.312E-2,-4.121E-2,0.020,-0.342,0.140,-0.585
2.133,4.380E-2,-4.010E-2,0.016,-0.340,0.143,-0.579
2.167,4.371E-2,-3.998E-2,0.016,-0.340,0.143,-0.579
2.200,4.313E-2,-3.903E-2,0.012,-0.337,0.144,-0.574
2.233,4.270E-2,-3.798E-2,0.007,-0.335,0.144,-0.568
2.267,4.253E-2,-3.703E-2,0.001,-0.332,0.143,-0.562
2.300,4.189E-2,-3.586E-2,-0.006,-0.329,0.142,-0.554
2.333,4.071E-2,-3.422E-2,-0.013,-0.325,0.141,-0.545
2.367,3.885E-2,-3.277E-2,-0.019,-0.321,0.140,-0.537
2.400,3.690E-2,-3.067E-2,-0.025,-0.317,0.138,-0.531
2.433,3.524E-2,-3.024E-2,-0.031,-0.314,0.136,-0.524
2.467,3.390E-2,-2.820E-2,-0.038,-0.310,0.134,-0.516
2.500,3.261E-2,-2.664E-2,-0.043,-0.306,0.131,-0.510
2.533,3.100E-2,-2.557E-2,-0.048,-0.303,0.130,-0.501
2.567,2.949E-2,-2.464E-2,-0.053,-0.300,0.130,-0.494
2.600,2.790E-2,-2.485E-2,-0.057,-0.298,0.130,-0.488
2.633,2.787E-2,-2.482E-2,-0.057,-0.298,0.130,-0.488
2.667,2.691E-2,-2.404E-2,-0.061,-0.296,0.131,-0.483
2.700,2.606E-2,-2.322E-2,-0.062,-0.294,0.132,-0.478
2.733,2.482E-2,-2.291E-2,-0.064,-0.292,0.134,-0.473
2.767,2.392E-2,-2.220E-2,-0.067,-0.289,0.135,-0.468
2.800,2.334E-2,-2.151E-2,-0.070,-0.287,0.136,-0.462
2.833,2.243E-2,-2.064E-2,-0.072,-0.284,0.138,-0.455
2.867,2.175E-2,-1.963E-2,-0.075,-0.281,0.138,-0.448
2.900,2.118E-2,-1.862E-2,-0.077,-0.278,0.139,-0.442
2.933,2.080E-2,-1.772E-2,-0.080,-0.276,0.140,-0.433
2.967,1.956E-2,-1.724E-2,-0.083,-0.274,0.141,-0.425
3.000,1.908E-2,-1.633E-2,-0.085,-0.272,0.143,-0.419
3.033,1.910E-2,-1.639E-2,-0.086,-0.270,0.145,-0.412
3.067,1.915E-2,-1.575E-2,-0.086,-0.267,0.147,-0.405
3.100,1.907E-2,-1.570E-2,-0.086,-0.267,0.147,-0.405
3.133,1.894E-2,-1.488E-2,-0.087,-0.264,0.149,-0.398
3.167,1.840E-2,-1.420E-2,-0.088,-0.261,0.151,-0.390
3.200,1.762E-2,-1.335E-2,-0.090,-0.258,0.153,-0.382
3.233,1.682E-2,-1.242E-2,-0.092,-0.256,0.154,-0.375
3.267,1.599E-2,-1.148E-2,-0.094,-0.253,0.154,-0.368
3.300,1.517E-2,-1.026E-2,-0.097,-0.250,0.154,-0.360
3.333,1.435E-2,-9.110E-3,-0.098,-0.248,0.154,-0.354
3.367,1.355E-2,-8.736E-3,-0.100,-0.246,0.155,-0.348
3.400,1.296E-2,-8.195E-3,-0.101,-0.244,0.155,-0.342
3.433,1.220E-2,-8.222E-3,-0.102,-0.243,0.157,-0.335
3.467,1.173E-2,-8.235E-3,-0.102,-0.243,0.158,-0.328
3.500,1.131E-2,-8.099E-3,-0.103,-0.242,0.158,-0.323
3.533,1.094E-2,-8.224E-3,-0.104,-0.241,0.159,-0.317
3.567,1.090E-2,-8.229E-3,-0.104,-0.241,0.159,-0.317
3.600,1.010E-2,-8.283E-3,-0.104,-0.240,0.159,-0.311
3.633,9.375E-3,-8.332E-3,-0.105,-0.240,0.160,-0.304
3.667,8.611E-3,-7.906E-3,-0.106,-0.238,0.159,-0.298
3.700,7.797E-3,-6.705E-3,-0.107,-0.236,0.159,-0.292
3.733,6.941E-3,-5.820E-3,-0.108,-0.234,0.158,-0.286
3.767,6.191E-3,-5.003E-3,-0.108,-0.233,0.158,-0.282
3.800,5.866E-3,-4.655E-3,-0.109,-0.232,0.159,-0.277
3.833,5.756E-3,-4.152E-3,-0.109,-0.231,0.159,-0.273
3.867,5.734E-3,-4.053E-3,-0.110,-0.231,0.158,-0.270
3.900,5.740E-3,-3.344E-3,-0.111,-0.230,0.158,-0.267
3.933,5.429E-3,-3.031E-3,-0.111,-0.228,0.157,-0.264
3.967,5.076E-3,-2.718E-3,-0.112,-0.228,0.157,-0.261
4.000,4.407E-3,-2.829E-3,-0.112,-0.228,0.158,-0.259
4.033,3.979E-3,-3.343E-3,-0.111,-0.229,0.159,-0.257
4.067,3.997E-3,-3.364E-3,-0.111,-0.229,0.159,-0.257
4.100,3.654E-3,-3.602E-3,-0.110,-0.230,0.159,-0.255
4.133,3.765E-3,-3.345E-3,-0.110,-0.229,0.159,-0.252
4.167,3.829E-3,-2.680E-3,-0.110,-0.228,0.159,-0.250
4.200,3.760E-3,-2.239E-3,-0.111,-0.227,0.158,-0.247
4.233,3.106E-3,-1.498E-3,-0.111,-0.226,0.158,-0.245
4.267,2.244E-3,-1.515E-3,-0.111,-0.226,0.158,-0.243
4.300,1.472E-3,-1.185E-3,-0.111,-0.227,0.159,-0.242
4.333,1.308E-3,-1.081E-3,-0.110,-0.228,0.160,-0.240
4.367,3.862E-5,-7.575E-4,-0.109,-0.228,0.161,-0.239
